date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2009-06-15,Milk - Retail,L,milk and dairy,90.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2009-07-15,Milk - Retail,L,milk and dairy,90.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2009-08-15,Milk - Retail,L,milk and dairy,90.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2009-09-15,Milk - Retail,L,milk and dairy,90.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2009-10-15,Milk - Retail,L,milk and dairy,95.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2009-11-15,Milk - Retail,L,milk and dairy,95.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2009-12-15,Milk - Retail,L,milk and dairy,100.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2010-01-15,Milk - Retail,L,milk and dairy,100.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2010-02-15,Milk - Retail,L,milk and dairy,105.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2010-03-15,Milk - Retail,L,milk and dairy,105.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2010-04-15,Milk - Retail,L,milk and dairy,105.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2010-05-15,Milk - Retail,L,milk and dairy,105.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2010-06-15,Milk - Retail,L,milk and dairy,100.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2010-07-15,Milk - Retail,L,milk and dairy,100.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2010-08-15,Milk - Retail,L,milk and dairy,100.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2010-09-15,Milk - Retail,L,milk and dairy,100.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2010-10-15,Milk - Retail,L,milk and dairy,100.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2010-11-15,Milk - Retail,L,milk and dairy,103.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2010-12-15,Milk - Retail,L,milk and dairy,103.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2011-01-15,Milk - Retail,L,milk and dairy,110.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2011-02-15,Milk - Retail,L,milk and dairy,110.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2011-03-15,Milk - Retail,L,milk and dairy,115.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2011-04-15,Milk - Retail,L,milk and dairy,120.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2011-05-15,Milk - Retail,L,milk and dairy,120.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2011-06-15,Milk - Retail,L,milk and dairy,115.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2011-07-15,Milk - Retail,L,milk and dairy,100.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2011-08-15,Milk - Retail,L,milk and dairy,100.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2011-09-15,Milk - Retail,L,milk and dairy,110.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2011-10-15,Milk - Retail,L,milk and dairy,110.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2011-11-15,Milk - Retail,L,milk and dairy,110.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2011-12-15,Milk - Retail,L,milk and dairy,120.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2012-01-15,Milk - Retail,L,milk and dairy,120.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2012-02-15,Milk - Retail,L,milk and dairy,125.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2012-03-15,Milk - Retail,L,milk and dairy,125.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2012-04-15,Milk - Retail,L,milk and dairy,125.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2012-05-15,Milk - Retail,L,milk and dairy,125.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2012-06-15,Milk - Retail,L,milk and dairy,125.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2012-07-15,Milk - Retail,L,milk and dairy,125.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2012-08-15,Milk - Retail,L,milk and dairy,125.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2012-09-15,Milk - Retail,L,milk and dairy,125.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2012-10-15,Milk - Retail,L,milk and dairy,125.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2012-11-15,Milk - Retail,L,milk and dairy,125.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2012-12-15,Milk - Retail,L,milk and dairy,125.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2013-01-15,Milk - Retail,L,milk and dairy,125.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2013-02-15,Milk - Retail,L,milk and dairy,125.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2013-03-15,Milk - Retail,L,milk and dairy,125.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2013-04-15,Milk - Retail,L,milk and dairy,125.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2013-05-15,Milk - Retail,L,milk and dairy,125.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2013-06-15,Milk - Retail,L,milk and dairy,125.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2013-07-15,Milk - Retail,L,milk and dairy,125.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2013-08-15,Milk - Retail,L,milk and dairy,125.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2013-09-15,Milk - Retail,L,milk and dairy,125.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2013-10-15,Milk - Retail,L,milk and dairy,125.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2013-11-15,Milk - Retail,L,milk and dairy,125.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2013-12-15,Milk - Retail,L,milk and dairy,125.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2014-01-15,Milk - Retail,L,milk and dairy,125.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2014-02-15,Milk - Retail,L,milk and dairy,125.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2014-03-15,Milk - Retail,L,milk and dairy,125.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2014-04-15,Milk - Retail,L,milk and dairy,125.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2014-05-15,Milk - Retail,L,milk and dairy,125.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2014-06-15,Milk - Retail,L,milk and dairy,125.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2014-07-15,Milk - Retail,L,milk and dairy,125.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2014-08-15,Milk - Retail,L,milk and dairy,125.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2014-09-15,Milk - Retail,L,milk and dairy,125.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2014-10-15,Milk - Retail,L,milk and dairy,125.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
2014-11-15,Milk - Retail,L,milk and dairy,125.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,81,15,15,3,2622_81_15_15,
